paxCode,label,steamId
PAX0013436800,Jujutsu Kaisen Cursed Clash (Ultimate Edition),
PAX0013449516,Sand Land,1979440
PAX0013456282,Jojo's Bizarre Adventure: All-Star Battle R (Ultimate Edition),
PAX0013456622,Ace Combat 7: Skies Unknown - Top Gun: Maverick Aircraft Set (DLC),1966880
PAX0013468760,Dragon Ball Xenoverse 2: Hero of Justice Pack Set (DLC),2161560
PAX0013468930,Dragon Ball Xenoverse 2: Hero of Justice Pack 1 (DLC),2161540
PAX0013469304,Dragon Ball Xenoverse 2: Hero of Justice Pack 2 (DLC),2377310
PAX0013475322,Little Nightmares III,1392860
PAX0013542336,Little Nightmares II,860510
PAX0013554066,One Punch Man: A Hero Nobody Knows (Deluxe Edition),
PAX0013555222,Tales of Arise - Beyond the Dawn Expansion (DLC),2391960
PAX0013555324,Naruto X Boruto Ultimate Ninja Storm Connections,1020790
PAX0013555528,Dragon Ball: Xenoverse 2 - Legendary Pack 1 (DLC),1507380
PAX0013555562,Dragon Ball: Xenoverse 2 - Legendary Pack 2 (DLC),1744080
PAX0013555596,Dragon Ball: Xenoverse 2 - Legendary Pack Set (DLC),1544340
PAX0013555630,Super Dragon Ball Heroes: World Mission,798510
PAX0013587216,Elden Ring Shadow of the Erdtree (DLC),2778580
PAX0013587284,Elden Ring Shadow of the Erdtree (DLC),
PAX0013587318,Elden Ring Shadow of the Erdtree (DLC),
PAX0013587352,Little Nightmares III,
PAX0013587420,Little Nightmares III,
PAX0013587488,Little Nightmares III,
PAX0013610676,Elden Ring Shadow of the Erdtree Edition,
PAX0013629852,Sand Land,1979440
PAX0013629988,Tales of Zestiria,351970
PAX0013651816,Pac-Man Mega Tunnel Battle: Chomp Champs,2095950
PAX0013651850,Pac-Man Mega Tunnel Battle: Chomp Champs,
PAX0013651884,Pac-Man Mega Tunnel Battle: Chomp Champs,
PAX0013747526,Dragon Ball FighterZ (Legendary Edition),
PAX0013753680,Dragon Ball: Sparking! Zero,1790600
PAX0013753748,Dragon Ball: Sparking! Zero,
PAX0013753782,Dragon Ball: Sparking! Zero,
PAX0013765784,Unknown 9: Awakening,1477940
PAX0013765818,Unknown 9: Awakening,
PAX0013765852,Unknown 9: Awakening,
PAX0013789652,Elden Ring Shadow of the Erdtree (DLC),
PAX0013791590,Elden Ring Shadow of the Erdtree (DLC),
PAX0013791930,Soulcalibur VI: Season Pass 2 (DLC),1162208
PAX0013795602,Dragon Ball: Sparking! Zero (Deluxe Edition),1790600
PAX0013798832,Gundam Breaker 4,1672500
PAX0013798968,Gundam Breaker 4,
PAX0013799002,Gundam Breaker 4,
PAX0013837558,Spy x Anya: Operation Memories,2170370
PAX0013886212,Elden Ring,1245620
PAX0013900526,Elden Ring,1245620
PAX0013924904,That Time I Got Reincarnated as a Slime Isekai Chronicles,2197680
PAX0013976312,Sword Art Online: Fractured Daydream,1858630
PAX0013986444,Gundam Breaker 4,1672500
PAX0013986614,Gundam Breaker 4 (Deluxe Edition),1047258
PAX0013986716,Gundam Breaker 4 (Ultimate Edition),1047259
PAX0013989640,Digimon Survive,871980
PAX0014008034,Captain Tsubasa: Rise of New Champions (Ultimate Edition),
PAX0014008374,Sword Art Online: Last Recollection (Deluxe Edition),
PAX0014038022,Bleach Rebirth of Souls,1689620
PAX0014079774,Synduality: Echo of Ada,1245480
PAX0014089430,Jujutsu Kaisen Cursed Clash (Deluxe Edition),
PAX0014117378,Dragon Ball: Sparking! Zero (Ultimate Edition),
PAX0014117548,Dragon Ball: Sparking! Zero (Deluxe Edition),
PAX0014130230,Dragon Ball: Sparking! Zero,
PAX0014130298,Dragon Ball: Sparking! Zero,1790600
PAX0014130332,Dragon Ball: Sparking! Zero,1790600
PAX0014130366,Dragon Ball: Sparking! Zero,1790600
PAX0014135432,Sword Art Online: Fractured Daydream,1858630
PAX0014175688,Freedom Wars Remastered,3004100
PAX0014183542,Tales of Graces f Remastered,2530980
PAX0014193742,One Piece: Pirate Warriors 4,
PAX0014206152,Unknown 9: Awakening,1477940
PAX0014233828,Sword Art Online: Last Recollection - Premium Pass (DLC),2296846
PAX0014235936,Baten Kaitos I & II HD Remaster,2146170
PAX0014311212,11-11 Memories Retold,735580
PAX0014344192,Sword Art Online: Hollow Realization (Deluxe Edition),607890
PAX0014344566,Professional Lumberjack 2015,316240
PAX0014350822,Dragon Ball: Sparking! Zero,
PAX0014369488,Pac-Man World Re-Pac,
PAX0014369522,Jojo's Bizarre Adventure: All-Star Battle R,
PAX0014371086,Little Nightmares II,
PAX0014400836,Taiko no Tatsujin: Rhythmic Adventure 2,
PAX0014401074,Captain Tsubasa: Rise of New Champions,
PAX0014403726,Ni no Kuni: Wrath of the White Witch Remastered,
PAX0014432660,Little Nightmares II,
PAX0014432728,Little Nightmares I & II,
PAX0014470808,Park Beyond,1368130
PAX0014523814,Elden Ring Nightreign,2622380
PAX0014568320,Pac-Man 256,
PAX0014570666,Dragon Ball Z: Kakarot (Deluxe Edition),
PAX0014571210,Digimon Story Cyber Sleuth (Complete Edition),
PAX0014580832,Dragon Ball Xenoverse 2: Future Sage Chapter 1 (DLC),2814240
PAX0014667464,Dark Souls II: Crown of the Sunken King (DLC),271942
PAX0014667634,Dark Souls (Prepare to Die Edition),211420
PAX0014680690,Doraemon Story of Seasons: Friends of the Great Kingdom,1492730
PAX0014731554,Mobile Suit Gundam Seed Battle Destiny Remastered,1857740
PAX0014732166,Shadow Labyrinth,1859430
PAX0014733764,Super Robot Wars Y,1909950
PAX0014737980,Freedom Wars Remastered (Contribution Edition),
PAX0014784968,The Blood of Dawnwalker,
PAX0014785070,The Blood of Dawnwalker,
PAX0014830086,Digimon Story Time Stranger,1984270
PAX0014830766,Mobile Suit Gundam Seed Battle Destiny Remastered,1857740
PAX0014836172,Everybody's Golf Hot Shots,2730810
PAX0014842054,Code Vein II,2362060
PAX0014842190,Towa And The Guardians Of The Sacred Tree,1910090
PAX0014894142,The Blood of Dawnwalker,3751260
PAX0014894210,Patapon 1+2 Replay,2383200
PAX0014903186,My Hero Academia: All’s Justice,2362050
PAX0014912026,Shadow Labyrinth,
PAX0014928754,Digimon Story Time Stranger,1984270
PAX0014928822,Digimon Story Time Stranger (Deluxe Edition),1984270
PAX0014928856,Digimon Story Time Stranger (Ultimate Edition),1984270
PAX0014929366,Super Robot Wars Y,1909950
PAX0014929434,Super Robot Wars Y (Ultimate Edition),1909950
PAX0014929502,Super Robot Wars Y (Deluxe Edition),1909950
PAX0014929740,Everybody's Golf Hot Shots,2730810
PAX0014945890,Ni No Kuni: Wrath Of The White Witch,
PAX0014945958,Dragon Ball: The Breakers (Special Edition),
PAX0014958742,Naruto Shippuden: Ultimate Ninja Storm 4 - Road To Boruto,
PAX0014976150,Once Upon A Katamari,1880620
PAX0014976422,Pac-Man World 2 Re-Pac,2324290
PAX0015081142,Little Nightmares III,1392860
PAX0015081176,Little Nightmares III (Deluxe Edition),1392860
PAX0015083964,Tales of Xillia Remastered,2246670
PAX0015099706,Dragon Ball Gekishin Squadra,2072560
PAX0015099774,Dragon Ball Gekishin Squadra,2072560
PAX0015167366,Code Vein II,2362060
PAX0015167434,Code Vein II (Deluxe Edition),2362060
PAX0015167570,Code Vein II (Ultimate Edition),2362060
PAX0015215068,Little Nightmares III,1392860
PAX0015215510,Digimon Story Time Stranger,1984270
PAX0015239922,Elden Ring Nightreign,2622380
PAX0015249510,Tales of Xillia Remastered (Deluxe Edition),2246670
PAX0015260322,Little Nightmares I & II Bundle,
PAX0015323358,Tales of Berseria Remastered,2331020
PAX0015391392,Ace Combat 8: Wings Of Theve,2288340
PAX0015493800,Dragon Ball Z: Kakarot,
PAX0015493868,Dragon Ball Z: Kakarot Season Pass (DLC),
PAX0015494208,Dragon Ball: Xenoverse 2 Season Pass (DLC),
PAX0015502742,Dragon Ball Z: Kakarot (Daima Edition),851850
PAX0015503422,Digimon Story Time Stranger (Deluxe Edition),1984270
PAX0015508828,Digimon Story Time Stranger (Ultimate Edition),1984270
PAX0015540482,Digimon Story Time Stranger,
PAX0015540516,Digimon Story Time Stranger,
PAX0015630616,Synduality: Echo of Ada,1245480
PAX0015630684,Synduality: Echo of Ada (Deluxe Edition),1142685
PAX0015713780,Super Robot Wars Y (Deluxe Edition),1281311
PAX0015713814,Super Robot Wars Y (Ultimate Edition),1281312
PAX0015714222,Tales of Xillia Remastered,
PAX0015714290,Tales of Xillia Remastered (Deluxe Edition),2246670
PAX0015714324,Tales of Xillia Remastered - Deluxe Upgrade Pack (DLC),3106450
PAX0015755362,The Dark Pictures Anthology: Season One,27477
PAX0015766480,Little Nightmares VR: Altered Echoes,2482940
PAX0015775422,Dragon Ball FighterZ - Daima Pack (DLC),4179010
PAX0015802418,Super Dragon Ball Heroes: World Mission,798510
PAX0015817582,Digimon Survive,
PAX0015819350,Disney Magical World 2: Enchanted Edition,
PAX0015824994,Dark Souls: Remastered,570940
PAX0015825402,Ni no Kuni II: Revenant Kingdom (The Prince's Edition),198300
PAX0015826558,My Hero One's Justice 2 (Deluxe Edition),426335
PAX0015827612,Little Nightmares: Secrets of The Maw Expansion Pass (DLC),640920
PAX0015827680,Naruto Shippuden: Ultimate Ninja Storm Legacy,4308
PAX0015830638,One Piece Burning Blood (Gold Edition),103373
PAX0015831522,Katamari Damacy Reroll,848350
PAX0015861000,Dragon Ball Xenoverse,323470
PAX0015895646,Tales of Eternia Remastered,3470960
PAX0015896258,ONE PIECE: Grand Gourmet,3905010
PAX0015912306,Accel World Vs. Sword Art Online (Deluxe Edition),607880
PAX0015948380,Katamari Damacy Reroll,848350
PAX0015980714,Super Dragon Ball Heroes World Mission,
PAX0015985950,Gundam Rogue Orbit,1963680
PAX0015986052,Dragon Ball Xenoverse 3,1857810
PAX0015999822,Echoes of Aincrad,2244210
PAX0016000162,Echoes of Aincrad (Deluxe Edition),1531723
PAX0016000264,Echoes of Aincrad (Ultimate Edition),1531725
