Product Name,Normalized Name,Customer Reference,months_seen,first_period,last_period,resellers,item_number_candidates,merged_from,needs_review,review_reasons,paxCode,steamId,matched_label,pax_match_status,pax_match_score,related_pax_codes,pax_needs_review,pax_review_reason
DARK SOULS III,dark_souls_iii,E01572,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E01572=21p,,False,,PAX0007785082,374320,Dark Souls III,exact,1.0,"PAX0011373680, PAX0010511032, PAX0011083694",False,
DARK SOULS III Deluxe Edition,dark_souls_iii_deluxe,E02323,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02323=21p,,False,,PAX0009513030,,Dark Souls III (Deluxe Edition),exact,1.0,"PAX0010511338, PAX0011083728, PAX0011178724, PAX0011300546",False,
DARK SOULS III - Season Pass,dark_souls_iii_season_pass,E01893,21,2024-08_2024-09,2026-06,"Alibaba, Heybox",E01893=21p,,False,,PAX0007947534,442010,Dark Souls III: Season Pass (DLC),exact,1.0,"PAX0011363990, PAX0010511202, PAX0011201878",False,
DARK SOULS: REMASTERED,dark_souls_remastered,E02716,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02716=22p,,False,,PAX0009575522,570940,Dark Souls: Remastered,exact,1.0,"PAX0011705588, PAX0015824994, PAX0010382852, PAX0011562686, PAX0013154124",False,
DEATH NOTE Killer Within,death_note_killer_within,E06643,19,2024-12,2026-06,"Alibaba, Heybox, Sonkwo",E06643=19p,,False,,,,,unmatched,,,True,unmatched
DEATH NOTE Killer Within Special Edition,death_note_killer_within_special,E06646,17,2024-12,2026-06,"Alibaba, Heybox, Sonkwo",E06646=17p,,False,,,,,unmatched,,,True,unmatched
Digimon Story Cyber Sleuth: Complete Edition,digimon_story_cyber_sleuth_complete,E05368,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05368=21p,,False,,PAX0010995022,1042550,Digimon Story Cyber Sleuth (Complete Edition),exact,1.0,"PAX0011070536, PAX0014571210",False,
Digimon Story Time Stranger,digimon_story_time_stranger,E03053,12,2025-07,2026-06,"Alibaba, Heybox, Sonkwo",E03053=12p,,False,,PAX0014830086,1984270,Digimon Story Time Stranger,exact,1.0,"PAX0014928754, PAX0015215510, PAX0015540482, PAX0015540516",False,
Digimon Story Time Stranger Deluxe Edition,digimon_story_time_stranger_deluxe,L00115,7,2025-12,2026-06,"Alibaba, Heybox, Sonkwo",L00115=7p,,False,,PAX0014928822,1984270,Digimon Story Time Stranger (Deluxe Edition),exact,1.0,PAX0015503422,False,
Digimon Story Time Stranger Ultimate Edition,digimon_story_time_stranger_ultimate,L00116,7,2025-12,2026-06,"Alibaba, Heybox, Sonkwo",L00116=7p,,False,,PAX0014928856,1984270,Digimon Story Time Stranger (Ultimate Edition),exact,1.0,PAX0015508828,False,
Digimon Survive,digimon_survive,E05471,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05471=21p; E03730=1p,,False,,PAX0012413910,871980,Digimon Survive,exact,1.0,"PAX0013989640, PAX0015817582",False,
Digimon World: Next Order,digimon_world_next_order,E04521,19,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E04521=19p,,False,,PAX0012723344,1530160,Digimon World: Next Order,exact,1.0,,False,
DORAEMON STORY OF SEASONS,doraemon_story_of_seasons,E03496,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03496=21p; E06163=1p,,False,,PAX0010731760,965230,Doraemon Story of Seasons,exact,1.0,,False,
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,doraemon_story_of_seasons_friends_of_the_great_kingdom,E05019,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05019=22p,,False,,PAX0012561776,1492730,Doraemon Story of Seasons: Friends of the Great Kingdom,exact,1.0,PAX0014680690,False,
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,doraemon_story_of_seasons_friends_of_the_great_kingdom_deluxe,E05733,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05733=22p,,False,,,1492730,Doraemon Story of Seasons: Friends of the Great Kingdom,base_game,,"PAX0012561776, PAX0014680690",True,duplicate_paxCode:PAX0012561776
DRAGON BALL FighterZ,dragon_ball_fighterz,E02533,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02533=21p,,False,,PAX0009332320,678950,Dragon Ball FighterZ,exact,1.0,"PAX0009392194, PAX0011359672, PAX0011484112, PAX0010515418, PAX0011551772, PAX0012925168",False,
DRAGON BALL FighterZ - FighterZ Edition,dragon_ball_fighterz_fighterz,E02595,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02595=22p,,False,,PAX0009410826,,Dragon Ball FighterZ (FighterZ Edition),exact,1.0,,False,
DRAGON BALL FighterZ - Legendary Edition,dragon_ball_fighterz_legendary,E02596,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02596=20p; E06163=2p; E03177=1p,,True,competing_item_numbers,PAX0013747526,,Dragon Ball FighterZ (Legendary Edition),exact,1.0,,False,
DRAGON BALL: Sparking! ZERO,dragon_ball_sparking_zero,E06127,20,2024-11,2026-06,"Alibaba, Heybox, Sonkwo",E06127=20p,,False,,PAX0013753680,1790600,Dragon Ball: Sparking! Zero,exact,1.0,"PAX0014130298, PAX0014130332, PAX0014130366, PAX0013753748, PAX0013753782, PAX0014130230, PAX0014350822",False,
DRAGON BALL: Sparking! ZERO Deluxe Edition,dragon_ball_sparking_zero_deluxe,E06634,20,2024-11,2026-06,"Alibaba, Heybox, Sonkwo",E06634=20p,,False,,PAX0013795602,1790600,Dragon Ball: Sparking! Zero (Deluxe Edition),exact,1.0,PAX0014117548,False,
DRAGON BALL: Sparking! ZERO Ultimate Edition,dragon_ball_sparking_zero_ultimate,E06655,20,2024-11,2026-06,"Alibaba, Heybox",E06655=20p,,False,,PAX0014117378,,Dragon Ball: Sparking! Zero (Ultimate Edition),exact,1.0,,False,
DRAGON BALL: THE BREAKERS,dragon_ball_the_breakers,E05011,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05011=21p,,False,,PAX0012529510,1276760,Dragon Ball: The Breakers,exact,1.0,,False,
DRAGON BALL: THE BREAKERS Special Edition,dragon_ball_the_breakers_special,E05644,19,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05644=19p,,False,,PAX0012527878,1777260,Dragon Ball: The Breakers (Special Edition),exact,1.0,"PAX0012983614, PAX0014945958",False,
DRAGON BALL XENOVERSE 2,dragon_ball_xenoverse_2,E02035,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02035=22p,,False,,PAX0008452536,454650,Dragon Ball: Xenoverse 2,exact,1.0,"PAX0011772466, PAX0012306674, PAX0010401620, PAX0010476862, PAX0010515724, PAX0011083252, PAX0013007346",False,
DRAGON BALL XENOVERSE 2 Deluxe Edition,dragon_ball_xenoverse_2_deluxe,E02036,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02036=22p,,False,,PAX0012760472,,Dragon Ball: Xenoverse 2 (Deluxe Edition),exact,1.0,,False,
DRAGON BALL XENOVERSE 2 Special Edition,dragon_ball_xenoverse_2_special,E06308,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06308=20p; E05644=2p,,True,competing_item_numbers,,454650,Dragon Ball: Xenoverse 2,base_game,,"PAX0008452536, PAX0011772466, PAX0012306674, PAX0010401620, PAX0010476862, PAX0010515724, PAX0011083252, PAX0013007346",True,duplicate_paxCode:PAX0008452536
DRAGON BALL Z: KAKAROT,dragon_ball_z_kakarot,E03005,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03005=22p,,False,,PAX0010474210,851850,Dragon Ball Z: Kakarot,exact,1.0,"PAX0010507598, PAX0011221632, PAX0011514134, PAX0012925712, PAX0015493800",False,
DRAGON BALL Z: KAKAROT - DAIMA EDITION,dragon_ball_z_kakarot_daima,L00113,7,2025-12,2026-06,"Heybox, Sonkwo",L00113=7p,,False,,PAX0015502742,851850,Dragon Ball Z: Kakarot (Daima Edition),exact,1.0,,False,
DRAGON BALL Z: KAKAROT Deluxe Edition,dragon_ball_z_kakarot_deluxe,E03730,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03730=21p,,False,,PAX0010489986,,Dragon Ball Z: Kakarot (Deluxe Edition),exact,1.0,"PAX0010515894, PAX0014570666",False,
DRAGON BALL Z: KAKAROT Legendary Edition,dragon_ball_z_kakarot_legendary,E06163,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06163=21p,,False,,PAX0012673398,,Dragon Ball Z: Kakarot (Legendary Edition),exact,1.0,,False,
DRAGON BALL Z : KAKAROT - MASTER EDITION,dragon_ball_z_kakarot_master,L00114,7,2025-12,2026-06,"Heybox, Sonkwo",L00114=7p,,False,,,851850,Dragon Ball Z: Kakarot,base_game,,"PAX0010474210, PAX0010507598, PAX0011221632, PAX0011514134, PAX0012925712, PAX0015493800",True,duplicate_paxCode:PAX0010474210
EVERYBODY'S GOLF HOT SHOTS,everybody_s_golf_hot_shots,L00036,12,2025-07,2026-06,"Alibaba, Heybox, Sonkwo",L00036=20p,"everybody_s_golf_hot_shots, everybody_s_golf_hotshots",False,,PAX0014836172,2730810,Everybody's Golf Hot Shots,exact,1.0,PAX0014929740,False,
FREEDOM WARS Remastered,freedom_wars_remastered,E06517,12,2025-07,2026-06,Alibaba,E06517=12p,,False,,PAX0014175688,3004100,Freedom Wars Remastered,exact,1.0,,False,
GOD EATER 2 Rage Burst,god_eater_2_rage_burst,E05369,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05369=21p,,False,,PAX0009309268,438490,God Eater 2: Rage Burst,exact,1.0,"PAX0011238836, PAX0011389626",False,
GOD EATER 3,god_eater_3,E03177,20,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03177=20p,"god_eater_3, god_eaters_3",False,,PAX0009956560,899440,God Eater 3,exact,1.0,"PAX0010588518, PAX0011414276",False,
GUNDAM BREAKER 4,gundam_breaker_4,E04524,22,2024-08_2024-09,2026-06,"Alibaba, Heybox",E04524=22p,,False,,PAX0013798832,1672500,Gundam Breaker 4,exact,1.0,"PAX0013986444, PAX0013798968, PAX0013799002",False,
GUNDAM BREAKER 4 Deluxe Edition,gundam_breaker_4_deluxe,E06529,22,2024-08_2024-09,2026-06,"Alibaba, Heybox",E06529=22p,,False,,PAX0013986614,1047258,Gundam Breaker 4 (Deluxe Edition),exact,1.0,,False,
GUNDAM BREAKER 4 Ultimate Edition,gundam_breaker_4_ultimate,E06530,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06530=22p,,False,,PAX0013986716,1047259,Gundam Breaker 4 (Ultimate Edition),exact,1.0,,False,
.hack//G.U. Last Recode,hack_g_u_last_recode,E05367,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05367=21p,,False,,PAX0011204972,525480,.Hack//G.U. Last Recode,exact,1.0,"PAX0011435764, PAX0011620588, PAX0011678694",False,
JoJo's Bizarre Adventure: All-Star Battle R,jojo_s_bizarre_adventure_all_star_battle_r,E03528,20,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03528=20p,,False,,PAX0012435840,1372110,Jojo's Bizarre Adventure: All-Star Battle R,exact,1.0,PAX0014369522,False,
JoJo's Bizarre Adventure: All-Star Battle R Deluxe Edition,jojo_s_bizarre_adventure_all_star_battle_r_deluxe,E05524,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05524=22p,,False,,PAX0013153750,,Jojo's Bizarre Adventure: All-Star Battle R (Deluxe Edition),exact,1.0,,False,
JoJo's Bizarre Adventure: All-Star Battle R Ultimate Edition,jojo_s_bizarre_adventure_all_star_battle_r_ultimate,E06307,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06307=21p,,False,,PAX0013456282,,Jojo's Bizarre Adventure: All-Star Battle R (Ultimate Edition),exact,1.0,,False,
Jujutsu Kaisen Cursed Clash,jujutsu_kaisen_cursed_clash,E05703,20,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05703=20p,,False,,PAX0013412422,1877020,Jujutsu Kaisen Cursed Clash,exact,1.0,PAX0013436664,False,
Jujutsu Kaisen Cursed Clash Deluxe Edition,jujutsu_kaisen_cursed_clash_deluxe,E06213,19,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06213=18p; E03322=1p,,False,,PAX0014089430,,Jujutsu Kaisen Cursed Clash (Deluxe Edition),exact,1.0,,False,
Jujutsu Kaisen Cursed Clash Ultimate Edition,jujutsu_kaisen_cursed_clash_ultimate,E06212,19,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06212=19p,,False,,PAX0013436800,,Jujutsu Kaisen Cursed Clash (Ultimate Edition),exact,1.0,,False,
Klonoa Phantasy Reverie Series,klonoa_phantasy_reverie_series,E04522,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E04522=21p,,False,,PAX0012403812,1730680,Klonoa Phantasy Reverie Series,exact,1.0,,False,
Little Nightmares III,little_nightmares_iii,E05707,7,2025-12,2026-06,"Alibaba, Heybox, Sonkwo",E05707=7p,,False,,PAX0013475322,1392860,Little Nightmares III,exact,1.0,"PAX0015081142, PAX0015215068, PAX0013587352, PAX0013587420, PAX0013587488",False,
Little Nightmares III Deluxe Edition,little_nightmares_iii_deluxe,L00119,7,2025-12,2026-06,"Alibaba, Heybox, Sonkwo",L00119=7p,,False,,PAX0015081176,1392860,Little Nightmares III (Deluxe Edition),exact,1.0,,False,
Little Nightmares VR: Altered Echoes,little_nightmares_vr_altered_echoes,L51736,1,2026-06,2026-06,Heybox,L51736=1p,,False,,PAX0015766480,2482940,Little Nightmares VR: Altered Echoes,exact,1.0,,False,
MOBILE SUIT GUNDAM SEED BATTLE DESTINY REMASTERED,mobile_suit_gundam_seed_battle_destiny_remastered,E06942,14,2025-05,2026-06,"Alibaba, Heybox, Sonkwo",E06942=14p,,False,,PAX0014731554,1857740,Mobile Suit Gundam Seed Battle Destiny Remastered,exact,1.0,PAX0014830766,False,
NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,naruto_shippuden_ultimate_ninja_storm_2,E05373,17,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05373=17p,,False,,PAX0010567030,543870,Naruto Shippuden: Ultimate Ninja Storm 2,exact,1.0,PAX0011460958,False,
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,naruto_shippuden_ultimate_ninja_storm_4,E01592,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E01592=22p,,False,,PAX0007774372,349040,Naruto Shippuden: Ultimate Ninja Storm 4,exact,1.0,"PAX0011368172, PAX0012032566, PAX0010301898, PAX0011545550",False,
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,naruto_shippuden_ultimate_ninja_storm_4_road_to_boruto,E04555,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E04555=22p,,False,,PAX0011492170,495160,Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto,exact,1.0,"PAX0009671674, PAX0011550038, PAX0014958742",False,
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,naruto_shippuden_ultimate_ninja_storm_legacy,E05371,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05371=22p,,False,,PAX0015827680,4308,Naruto Shippuden: Ultimate Ninja Storm Legacy,exact,1.0,"PAX0010114966, PAX0011548576",False,
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,naruto_shippuden_ultimate_ninja_storm_trilogy,E05387,20,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05387=20p; L30800=1p,,False,,PAX0009772144,,Naruto Shippuden: Ultimate Ninja Storm Trilogy,exact,1.0,"PAX0010532146, PAX0011405844, PAX0011531134",False,
NARUTO TO BORUTO: SHINOBI STRIKER,naruto_to_boruto_shinobi_striker,E02855,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02855=20p; E01572=1p; E01927=1p,,False,,PAX0009688844,633230,Naruto to Boruto: Shinobi Striker,exact,1.0,"PAX0010585968, PAX0011909486, PAX0010146858, PAX0011078050, PAX0011555104",False,
NARUTO TO BORUTO: SHINOBI STRIKER Deluxe Edition,naruto_to_boruto_shinobi_striker_deluxe,E02942,20,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02942=20p,,False,,PAX0009966964,,Naruto to Boruto: Shinobi Striker (Deluxe Edition),exact,1.0,"PAX0010436198, PAX0011223468",False,
NARUTO TO BORUTO: SHINOBI STRIKER Ultimate Edition,naruto_to_boruto_shinobi_striker_ultimate,E06292,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06292=21p,,False,,,633230,Naruto to Boruto: Shinobi Striker,base_game,,"PAX0009688844, PAX0010585968, PAX0011909486, PAX0010146858, PAX0011078050, PAX0011555104",True,duplicate_paxCode:PAX0009688844
NARUTO: Ultimate Ninja STORM,naruto_ultimate_ninja_storm,E05386,20,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05386=20p,,False,,PAX0010567064,495140,Naruto: Ultimate Ninja Storm,exact,1.0,,False,
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,naruto_x_boruto_ultimate_ninja_storm_connections,E03049,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03049=22p,,False,,PAX0013555324,1020790,Naruto X Boruto Ultimate Ninja Storm Connections,exact,1.0,,False,
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Deluxe Edition,naruto_x_boruto_ultimate_ninja_storm_connections_deluxe,E06164,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06164=22p,,False,,,1020790,Naruto X Boruto Ultimate Ninja Storm Connections,base_game,,PAX0013555324,True,duplicate_paxCode:PAX0013555324
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Ultimate Edition,naruto_x_boruto_ultimate_ninja_storm_connections_ultimate,E06165,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06165=22p; E06212=1p,,False,,,1020790,Naruto X Boruto Ultimate Ninja Storm Connections,base_game,,PAX0013555324,True,duplicate_paxCode:PAX0013555324
New Gundam Breaker,new_gundam_breaker,E02758,19,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02758=19p,,False,,PAX0009974784,738530,New Gundam Breaker,exact,1.0,"PAX0011249818, PAX0012319356",False,
Once Upon A KATAMARI,once_upon_a_katamari,E06970,7,2025-12,2026-06,Heybox,E06970=7p,,False,,PAX0014976150,1880620,Once Upon A Katamari,exact,1.0,,False,
Once Upon A KATAMARI - King of All Sounds Edition,once_upon_a_katamari_king_of_all_sounds,L00120,6,2025-12,2026-06,"Heybox, Sonkwo",L00120=6p,,False,,,,,unmatched,,,True,unmatched
ONE PIECE BURNING BLOOD,one_piece_burning_blood,E01970,19,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E01970=19p,,False,,PAX0009056410,425220,One Piece Burning Blood,exact,1.0,"PAX0010533676, PAX0011551024",False,
ONE PIECE BURNING BLOOD GOLD Edition,one_piece_burning_blood_gold,E05642,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05642=22p,,False,,PAX0010475706,501580,One Piece: Burning Blood (Gold Edition),exact,1.0,"PAX0011827886, PAX0015830638, PAX0011562992",False,
ONE PIECE ODYSSEY,one_piece_odyssey,E05083,20,2024-08_2024-09,2026-06,"Alibaba, Heybox",E05083=20p,,False,,PAX0012652998,814000,One Piece Odyssey,exact,1.0,,False,
ONE PIECE ODYSSEY Deluxe Edition,one_piece_odyssey_deluxe,E05788,20,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05788=20p,,False,,PAX0012673432,,One Piece Odyssey (Deluxe Edition),exact,1.0,,False,
ONE PIECE: PIRATE WARRIORS 4,one_piece_pirate_warriors_4,E02973,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02973=20p; E05387=2p; E04727=1p,,True,competing_item_numbers,PAX0010605960,1089090,One Piece: Pirate Warriors 4,exact,1.0,"PAX0011357190, PAX0011727654, PAX0014193742",False,
ONE PIECE: PIRATE WARRIORS 4 Deluxe Edition,one_piece_pirate_warriors_4_deluxe,E03825,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03825=22p; E02942=1p,,False,,PAX0010640946,,One Piece: Pirate Warriors 4 (Deluxe Edition),exact,1.0,PAX0011265050,False,
ONE PIECE: PIRATE WARRIORS 4 Legendary Edition,one_piece_pirate_warriors_4_legendary,L00434,6,2026-01,2026-06,"Heybox, Sonkwo",L00434=6p,,False,,,1089090,One Piece: Pirate Warriors 4,base_game,,"PAX0010605960, PAX0011357190, PAX0011727654, PAX0014193742",True,duplicate_paxCode:PAX0010605960
ONE PIECE: PIRATE WARRIORS 4 Ultimate Edition,one_piece_pirate_warriors_4_ultimate,E06098,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06098=22p,,False,,,1089090,One Piece: Pirate Warriors 4,base_game,,"PAX0010605960, PAX0011357190, PAX0011727654, PAX0014193742",True,duplicate_paxCode:PAX0010605960
