customer_reference,date,quantity,price,currency
E05837,2025-12,8,298.0,CNY
E05837,2025-12,2841,149.0,CNY
E05837,2025-07,23,298.0,CNY
E05837,2025-08,26,298.0,CNY
E05837,2025-09,287,178.0,CNY
E05837,2025-09,27,298.0,CNY
E05837,2025-10,601,178.0,CNY
E05837,2025-10,13,298.0,CNY
E05837,2025-11,20,298.0,CNY
E05837,2026-01,1119,149.0,CNY
E05837,2026-01,14,298.0,CNY
E05837,2026-02,5228,149.0,CNY
E05837,2026-02,5,298.0,CNY
E05837,2026-02,154,193.0,CNY
E05837,2026-03,4,298.0,CNY
E05837,2026-04,31,298.0,CNY
E05837,2026-05,41,298.0,CNY
E05837,2026-06,1444,149.0,CNY
E05837,2026-06,22,298.0,CNY
