customer_reference,date,quantity,price,currency
L00113,2025-09,25,158.0,CNY
L00113,2025-09,2,198.0,CNY
L00113,2025-10,5,158.0,CNY
L00113,2025-10,7,198.0,CNY
L00113,2025-11,13,158.0,CNY
L00113,2025-11,7,198.0,CNY
L00113,2025-12,5,198.0,CNY
L00113,2025-12,3,158.0,CNY
L00113,2025-12,30,138.0,CNY
L00113,2026-01,14,138.0,CNY
L00113,2026-01,5,198.0,CNY
L00113,2026-02,99,118.0,CNY
L00113,2026-02,2,198.0,CNY
L00113,2026-03,9,138.0,CNY
L00113,2026-03,30,118.0,CNY
L00113,2026-03,11,198.0,CNY
L00113,2026-04,1,198.0,CNY
L00113,2026-04,21,138.0,CNY
L00113,2026-04,22,118.0,CNY
L00113,2026-05,2,198.0,CNY
L00113,2026-05,15,118.0,CNY
L00113,2026-06,23,118.0,CNY
L00113,2026-06,4,198.0,CNY
