customer_reference,date,quantity,price,currency
E06655,2025-07,111,430.0,CNY
E06655,2025-08,50,430.0,CNY
E06655,2025-08,4,538.0,CNY
E06655,2025-09,87,430.0,CNY
E06655,2025-10,4,538.0,CNY
E06655,2025-10,167,322.0,CNY
E06655,2025-11,8,538.0,CNY
E06655,2025-11,106,322.0,CNY
E06655,2025-12,6,538.0,CNY
E06655,2025-12,381,322.0,CNY
E06655,2026-01,5,538.0,CNY
E06655,2026-01,54,322.0,CNY
E06655,2026-02,3,538.0,CNY
E06655,2026-02,590,269.0,CNY
E06655,2026-02,69,290.0,CNY
E06655,2026-03,8,538.0,CNY
E06655,2026-03,213,269.0,CNY
E06655,2026-04,1,538.0,CNY
E06655,2026-04,374,269.0,CNY
E06655,2026-05,5,538.0,CNY
E06655,2026-05,137,269.0,CNY
E06655,2026-06,521,269.0,CNY
E06655,2026-06,5,538.0,CNY
