customer_reference,date,quantity,price,currency
E06127,2025-07,555,208.0,CNY
E06127,2025-08,10,298.0,CNY
E06127,2025-08,332,208.0,CNY
E06127,2025-09,637,169.0,CNY
E06127,2025-09,159,208.0,CNY
E06127,2025-10,78,169.0,CNY
E06127,2025-10,2,298.0,CNY
E06127,2025-10,554,169.0,CNY
E06127,2025-11,18,298.0,CNY
E06127,2025-11,200,169.0,CNY
E06127,2025-12,3,298.0,CNY
E06127,2025-12,783,154.0,CNY
E06127,2026-01,9,298.0,CNY
E06127,2026-01,69,169.0,CNY
E06127,2026-02,3,298.0,CNY
E06127,2026-02,681,149.0,CNY
E06127,2026-03,7,298.0,CNY
E06127,2026-03,583,149.0,CNY
E06127,2026-04,5,298.0,CNY
E06127,2026-04,753,149.0,CNY
E06127,2026-05,6,298.0,CNY
E06127,2026-05,115,149.0,CNY
E06127,2026-06,6,298.0,CNY
E06127,2026-06,923,149.0,CNY
