customer_reference,date,quantity,price,currency
L00033,2025-08,403,298.0,CNY
L00033,2025-09,31,298.0,CNY
L00033,2025-09,125,298.0,CNY
L00033,2025-10,43,298.0,CNY
L00033,2025-11,23,298.0,CNY
L00033,2025-12,6,298.0,CNY
L00033,2025-12,161,298.0,CNY
L00033,2026-01,8,298.0,CNY
L00033,2026-02,1,298.0,CNY
L00033,2026-02,112,199.0,CNY
L00033,2026-03,3,298.0,CNY
L00033,2026-03,33,199.0,CNY
L00033,2026-04,70,199.0,CNY
L00033,2026-05,22,199.0,CNY
L00033,2026-05,3,298.0,CNY
L00033,2026-06,3,298.0,CNY
L00033,2026-06,24,178.0,CNY
L00033,2026-06,31,199.0,CNY
