customer_reference,date,quantity,price,currency
L00111,2025-07,8,278.6,CNY
L00111,2025-07,1,398.0,CNY
L00111,2025-08,3,278.0,CNY
L00111,2025-08,1,398.0,CNY
L00111,2025-09,2,398.0,CNY
L00111,2025-09,2,278.0,CNY
L00111,2025-10,11,278.0,CNY
L00111,2025-11,11,238.0,CNY
L00111,2025-12,4,398.0,CNY
L00111,2025-12,19,278.0,CNY
L00111,2026-01,1,278.0,CNY
L00111,2026-02,12,238.0,CNY
L00111,2026-03,1,238.0,CNY
L00111,2026-03,1,398.0,CNY
L00111,2026-04,7,240.0,CNY
L00111,2026-05,5,295.0,CNY
L00111,2026-06,1,261.0,CNY
L00111,2026-06,3,295.0,CNY
L00111,2026-06,2,348.0,CNY
