customer_reference,date,quantity,price,currency
E02540,2025-07,3,23.0,CNY
E02540,2025-07,2610,15.0,CNY
E02540,2025-08,387,15.0,CNY
E02540,2025-09,860,15.0,CNY
E02540,2025-10,138,23.0,CNY
E02540,2025-11,68,23.0,CNY
E02540,2025-12,74,28.0,CNY
E02540,2026-01,8,28.0,CNY
E02540,2026-01,23,23.0,CNY
E02540,2026-02,228,18.0,CNY
E02540,2026-03,203,18.0,CNY
E02540,2026-04,1,88.0,CNY
E02540,2026-04,13,22.0,CNY
E02540,2026-05,61,22.0,CNY
E02540,2026-06,226,22.0,CNY
E02540,2026-06,1,88.0,CNY
