customer_reference,date,quantity,price,currency
E05472,2025-07,504,124.0,CNY
E05472,2025-07,1,164.0,CNY
E05472,2025-08,469,124.0,CNY
E05472,2025-08,1,498.0,CNY
E05472,2025-09,238,124.0,CNY
E05472,2025-10,166,124.0,CNY
E05472,2025-10,14,164.0,CNY
E05472,2025-11,90,124.0,CNY
E05472,2025-11,3,164.0,CNY
E05472,2025-12,108,124.0,CNY
E05472,2026-01,27,124.0,CNY
E05472,2026-02,106,124.0,CNY
E05472,2026-03,89,124.0,CNY
E05472,2026-04,26,124.0,CNY
E05472,2026-05,65,124.0,CNY
E05472,2026-06,45,124.0,CNY
