customer_reference,date,quantity,price,currency
L00119,2025-10,146,268.0,CNY
L00119,2025-11,7,268.0,CNY
L00119,2025-12,4,268.0,CNY
L00119,2025-12,116,176.0,CNY
L00119,2026-01,3,268.0,CNY
L00119,2026-01,11,176.0,CNY
L00119,2026-02,39,176.0,CNY
L00119,2026-03,9,176.0,CNY
L00119,2026-04,8,176.0,CNY
L00119,2026-05,43,176.0,CNY
L00119,2026-05,1,268.0,CNY
L00119,2026-06,1,268.0,CNY
L00119,2026-06,34,155.0,CNY
L00119,2026-06,10,235.0,CNY
L00119,2025-12,4,300.0,CNY
L00119,2025-10,1149,300.0,CNY
L00119,2025-11,8,300.0,CNY
L00119,2026-01,3,300.0,CNY
L00119,2026-02,83,176.0,CNY
L00119,2026-02,2,300.0,CNY
L00119,2026-02,8,225.0,CNY
L00119,2026-03,25,176.0,CNY
L00119,2026-03,5,235.0,CNY
L00119,2026-04,8,235.0,CNY
L00119,2026-04,23,176.0,CNY
L00119,2026-05,6,235.0,CNY
