customer_reference,date,quantity,price,currency
L00034,2025-08,565,498.0,CNY
L00034,2025-09,30,498.0,CNY
L00034,2025-09,98,498.0,CNY
L00034,2025-10,18,498.0,CNY
L00034,2025-11,19,498.0,CNY
L00034,2025-12,13,498.0,CNY
L00034,2025-12,16,498.0,CNY
L00034,2026-01,3,498.0,CNY
L00034,2026-02,80,348.0,CNY
L00034,2026-02,6,498.0,CNY
L00034,2026-03,16,348.0,CNY
L00034,2026-04,4,498.0,CNY
L00034,2026-04,13,348.0,CNY
L00034,2026-05,16,348.0,CNY
L00034,2026-06,2,498.0,CNY
L00034,2026-06,22,298.0,CNY
