customer_reference,date,quantity,price,currency
L00035,2025-08,488,638.0,CNY
L00035,2025-09,88,638.0,CNY
L00035,2025-09,29,638.0,CNY
L00035,2025-10,22,638.0,CNY
L00035,2025-11,14,638.0,CNY
L00035,2025-12,6,638.0,CNY
L00035,2025-12,88,638.0,CNY
L00035,2026-01,8,638.0,CNY
L00035,2026-02,3,638.0,CNY
L00035,2026-02,83,446.0,CNY
L00035,2026-03,2,638.0,CNY
L00035,2026-03,29,446.0,CNY
L00035,2026-04,2,638.0,CNY
L00035,2026-04,58,446.0,CNY
L00035,2026-05,22,446.0,CNY
L00035,2026-06,25,446.0,CNY
L00035,2026-06,25,382.0,CNY
