customer_reference,date,quantity,price,currency
L00129,2025-09,1,298.0,CNY
L00129,2025-09,3,149.0,CNY
L00129,2025-10,35,149.0,CNY
L00129,2025-10,1,298.0,CNY
L00129,2025-11,70,119.0,CNY
L00129,2025-11,2,298.0,CNY
L00129,2025-12,1,298.0,CNY
L00129,2025-12,52,149.0,CNY
L00129,2026-01,1,149.0,CNY
L00129,2026-02,71,119.0,CNY
L00129,2026-03,36,119.0,CNY
L00129,2026-04,4,198.0,CNY
L00129,2026-04,28,118.0,CNY
L00129,2026-05,2,198.0,CNY
L00129,2026-05,63,108.0,CNY
L00129,2026-06,52,108.0,CNY
L00129,2026-06,2,198.0,CNY
