customer_reference,date,quantity,price,currency
L00115,2025-12,32,448.0,CNY
L00115,2025-12,282,313.0,CNY
L00115,2025-09,2636,448.0,CNY
L00115,2025-10,832,448.0,CNY
L00115,2025-10,864,448.0,CNY
L00115,2025-11,136,448.0,CNY
L00115,2026-01,15,448.0,CNY
L00115,2026-01,34,358.0,CNY
L00115,2026-02,129,336.0,CNY
L00115,2026-02,1,448.0,CNY
L00115,2026-02,103,358.0,CNY
L00115,2026-03,97,336.0,CNY
L00115,2026-03,11,448.0,CNY
L00115,2026-04,5,448.0,CNY
L00115,2026-04,41,336.0,CNY
L00115,2026-05,13,448.0,CNY
L00115,2026-05,36,336.0,CNY
L00115,2026-06,2,448.0,CNY
L00115,2026-06,372,268.0,CNY
