customer_reference,date,quantity,price,currency
E03053,2025-12,129,298.0,CNY
E03053,2025-12,653,208.0,CNY
E03053,2025-09,1617,298.0,CNY
E03053,2025-10,2883,298.0,CNY
E03053,2025-10,3090,298.0,CNY
E03053,2025-11,665,298.0,CNY
E03053,2026-01,68,298.0,CNY
E03053,2026-01,111,238.0,CNY
E03053,2026-02,1,223.0,CNY
E03053,2026-02,24,298.0,CNY
E03053,2026-02,1679,208.0,CNY
E03053,2026-03,27,298.0,CNY
E03053,2026-03,357,208.0,CNY
E03053,2026-04,3,298.0,CNY
E03053,2026-04,186,208.0,CNY
E03053,2026-05,12,298.0,CNY
E03053,2026-05,245,208.0,CNY
E03053,2026-06,11,298.0,CNY
E03053,2026-06,217,169.0,CNY
